# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
1 4 0 2 58 3798 0 39.9408 0.375524 -0.263947 0.0143205 72.6535 4 18.1634 6.24475e-15
1 4 0 3 59 1151 0 35.0802 1.0119 -0.11085 0.0403095 2.93523 2 1.46761 0.230475
1 4 0 4 60 1665 0 35.3918 0.661522 -0.130465 0.0264836 7.6278 3 2.5426 0.054364
1 4 0 5 61 178 0 35.0767 2.32294 -0.130158 0.0955609 3.59582 1 3.59582 0.0579252
1 4 0 6 62 3870 0 34.2413 0.419568 -0.183243 0.018006 5.8322 3 1.94407 0.120066
1 5 0 0 70 0 -1 nan nan nan nan nan 0 nan nan
1 5 0 1 71 6 1 nan nan nan nan nan 0 nan nan
1 5 0 2 72 5 1 nan nan nan nan nan 0 nan nan
1 5 0 3 73 20 0 49.8929 4.04085 -0.839286 0.177569 3.0857e-25 0 nan nan
1 5 0 4 74 82 0 35.7654 3.06602 -0.388383 0.154447 1.07459 1 1.07459 0.299911
1 5 0 5 75 2282 0 32.0954 0.431223 -0.21311 0.0208763 28.6358 3 9.54528 2.67082e-06
1 5 0 6 76 9440 0 30.8694 0.229949 -0.145562 0.0110776 135.98 4 33.9951 2.04672e-28
1 0 1 7 7 0 -1 nan nan nan nan nan 0 nan nan
1 0 1 8 8 1068 0 36.8152 0.558099 -0.214665 0.023514 1.31132 2 0.655662 0.519098
1 0 1 9 9 2612 0 38.512 0.523067 -0.274322 0.0216451 32.4075 2 16.2037 9.17916e-08
1 0 1 10 10 2437 0 34.4131 0.422998 -0.149935 0.0182523 23.9322 4 5.98304 8.24151e-05
1 0 1 11 11 1448 0 37.035 0.486125 -0.191113 0.0200803 5.35166 4 1.33791 0.25308
1 0 1 12 12 670 0 35.1878 1.01629 -0.136786 0.0415298 2.31384 3 0.771282 0.509874
1 0 1 13 13 1866 0 34.0507 0.720001 -0.0953875 0.0294632 61.9913 3 20.6638 2.20647e-13
1 1 1 7 21 3991 0 34.8706 0.280467 -0.203692 0.0126046 59.427 3 19.809 7.79227e-13
1 1 1 8 22 116 0 39.1153 2.63046 -0.360009 0.112908 0.066261 1 0.066261 0.796861
1 1 1 9 23 1838 0 36.8623 0.482854 -0.308348 0.0216224 19.8703 3 6.62343 0.000180579
1 1 1 10 24 0 -1 nan nan nan nan nan 0 nan nan
1 1 1 11 25 6304 0 33.7094 0.28011 -0.205167 0.0128263 13.6417 4 3.41042 0.00853104
1 1 1 12 26 11757 0 31.8384 0.165093 -0.0879037 0.00757931 32.6291 3 10.8764 3.8562e-07
1 1 1 13 27 13629 0 34.3091 0.185266 -0.196986 0.00837093 208.939 4 52.2348 4.4934e-44
1 2 1 7 35 3691 0 34.3431 0.468114 -0.142878 0.0194686 7.84788 3 2.61596 0.0492624
