# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts: CDet_run5710_halfbar_aligned_final_archive/CDet_pixel_quality_cuts_run5710_halfbar_aligned_final.root (loaded 102)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
161 10 20 0 0 group_fallback nan -7.16859 -7.16859 0.093062 2.85738 -0.00935853 -0.874402 -1 "insufficient individual entries"
162 10 20 152 0 individual_fit -6.82084 -7.16859 -6.65787 0.461711 2.85294 0.50136 -2.45784 0 "valid constrained fit"
163 10 20 211 0 individual_fit -7.85171 -7.16859 -7.14594 0.35384 2.00414 0.0132905 0.785682 0 "valid constrained fit"
164 10 20 179 0 individual_fit -8.27099 -7.16859 -7.5494 0.431864 1.44826 -0.39017 -0.215833 0 "valid constrained fit"
165 10 20 60 0 group_fallback -6.79163 -7.16859 -7.16859 0.093062 2.85738 -0.00935853 -2.354 0 "individual constrained fit failed quality criteria"
166 10 20 36 0 individual_fit -8.1082 -7.16859 -7.48048 0.446038 0.686655 -0.321252 -0.955951 0 "valid constrained fit"
167 10 20 192 0 individual_fit -6.77861 -7.16859 -6.97186 0.339886 2.14035 0.187367 -1.52646 0 "valid constrained fit"
168 10 21 179 0 group_fallback -7.48082 -7.74591 -7.74591 0.0899494 3.00795 -0.586683 0.106991 0 "individual constrained fit failed quality criteria"
169 10 21 420 0 individual_fit -7.20467 -7.74591 -7.13921 0.402416 2.76311 0.0200141 1.02347 0 "valid constrained fit"
170 10 21 375 0 individual_fit -7.69321 -7.74591 -7.57982 0.541893 2.86305 -0.420596 -0.703945 0 "valid constrained fit"
171 10 21 113 0 individual_fit -7.50073 -7.74591 -6.74476 0.523331 2.27981 0.414464 0.0930615 0 "valid constrained fit"
172 10 21 0 0 unused nan -7.74591 nan nan nan 0 0 -1 "known unused pixel"
173 10 21 26 0 group_fallback nan -7.74591 -7.74591 0.0899494 3.00795 -0.586683 -0.66089 -1 "insufficient individual entries"
174 10 21 307 0 individual_fit -8.4859 -7.74591 -7.23724 0.372351 2.45212 -0.078014 0.781505 0 "valid constrained fit"
175 10 21 0 0 unused nan -7.74591 nan nan nan 0 0 -1 "known unused pixel"
176 11 22 0 0 unused nan -7.90915 nan nan nan 0 0 -1 "known unused pixel"
177 11 22 19 0 group_fallback nan -7.90915 -7.90915 0.1285 2.89386 -0.749926 -1.43869 -1 "insufficient individual entries"
178 11 22 35 0 individual_fit -7.38407 -7.90915 -6.77045 0.295483 0.5 0.38878 -2.91119 0 "valid constrained fit"
179 11 22 44 0 individual_fit -7.15226 -7.90915 -7.26522 0.865686 2.12357 -0.105991 -1.04049 0 "valid constrained fit"
180 11 22 119 0 individual_fit -7.37057 -7.90915 -5.94965 1.04465 3.57056 1.20958 0.523327 0 "valid constrained fit"
181 11 22 16 0 group_fallback nan -7.90915 -7.90915 0.1285 2.89386 -0.749926 -1.43869 -1 "insufficient individual entries"
182 11 22 137 0 individual_fit -7.39083 -7.90915 -6.91245 0.305162 1.61895 0.246773 -1.00447 0 "valid constrained fit"
183 11 22 395 0 individual_fit -7.54495 -7.90915 -7.36512 0.83059 5.11536 -0.205898 3.16264 0 "valid constrained fit"
184 11 23 506 0 individual_fit -8.92095 -8.24668 -7.78317 0.207168 1.9525 -0.62394 4.1425 0 "valid constrained fit"
185 11 23 16 0 group_fallback nan -8.24668 -8.24668 0.139242 3.04727 -1.08745 -1.5514 -1 "insufficient individual entries"
186 11 23 41 0 individual_fit -6.79846 -8.24668 -6.85615 0.657687 1.50859 0.303076 -0.814287 0 "valid constrained fit"
187 11 23 34 0 group_fallback nan -8.24668 -8.24668 0.139242 3.04727 -1.08745 -1.5514 -1 "insufficient individual entries"
188 11 23 0 0 unused nan -8.24668 nan nan nan 0 0 -1 "known unused pixel"
189 11 23 97 0 individual_fit -5.98028 -8.24668 -5.99496 0.872161 2.22221 1.16426 -0.544378 0 "valid constrained fit"
190 11 23 12 0 group_fallback nan -8.24668 -8.24668 0.139242 3.04727 -1.08745 -1.5514 -1 "insufficient individual entries"
191 11 23 24 0 group_fallback nan -8.24668 -8.24668 0.139242 3.04727 -1.08745 -1.5514 -1 "insufficient individual entries"
192 12 24 309 1 manual_2d_fit -6.30722 -7.47726 -5.90376 0.193679 2.03551 1.25547 9.48961 0 "valid fit seeded from manually selected two-dimensional population"
193 12 24 26 0 group_fallback nan -7.47726 -7.47726 0.182277 3.20535 -0.318035 5.47251 -1 "insufficient individual entries"
194 12 24 14 0 group_fallback nan -7.47726 -7.47726 0.182277 3.20535 -0.318035 5.47251 -1 "insufficient individual entries"
195 12 24 0 0 unused nan -7.47726 nan nan nan 0 0 -1 "known unused pixel"
196 12 24 75 1 manual_2d_fit -7.82882 -7.47726 -8.33119 1.16537 2.38922 -1.17196 6.03244 0 "valid fit seeded from manually selected two-dimensional population"
197 12 24 51 1 manual_2d_fit -6.84581 -7.47726 -9.7627 0.764596 2.27686 -2.60347 3.18707 0 "valid fit seeded from manually selected two-dimensional population"
198 12 24 46 1 group_fallback -12.4884 -7.47726 -7.47726 0.182277 3.20535 -0.318035 5.08312 0 "manual-population fit failed quality criteria"
199 12 24 0 0 unused nan -7.47726 nan nan nan 0 0 -1 "known unused pixel"
200 12 25 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
201 12 25 10 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
202 12 25 8 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
203 12 25 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
204 12 25 1 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
205 12 25 18 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
206 12 25 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
207 12 25 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
208 13 26 84 0 group_fallback -6.28894 -6.72089 -6.72089 0.0905674 3.22984 0.438337 6.49968 0 "individual constrained fit failed quality criteria"
209 13 26 237 0 individual_fit -7.59758 -6.72089 -6.93407 0.857977 2.57028 0.225153 4.85282 0 "valid constrained fit"
210 13 26 330 0 individual_fit -6.98032 -6.72089 -7.19948 0.440559 2.88022 -0.0402538 4.21702 0 "valid constrained fit"
211 13 26 275 0 individual_fit -6.5552 -6.72089 -7.19381 0.203838 1.87241 -0.0345798 2.19861 0 "valid constrained fit"
212 13 26 135 0 group_fallback -8.91639 -6.72089 -6.72089 0.0905674 3.22984 0.438337 5.14282 0 "individual constrained fit failed quality criteria"
213 13 26 0 0 unused nan -6.72089 nan nan nan 0 0 -1 "known unused pixel"
214 13 26 294 0 individual_fit -6.86937 -6.72089 -7.19772 0.151487 1.45853 -0.0384888 0.626625 0 "valid constrained fit"
215 13 26 302 0 individual_fit -6.73099 -6.72089 -6.97929 0.247845 2.289 0.179936 1.235 0 "valid constrained fit"
216 13 27 66 0 group_fallback -5.88389 -6.87768 -6.87768 0.215811 2.90065 0.281547 1.88206 0 "individual constrained fit failed quality criteria"
217 13 27 110 0 individual_fit -6.83764 -6.87768 -6.97729 0.660799 2.6092 0.18194 0.145071 0 "valid constrained fit"
218 13 27 29 0 group_fallback nan -6.87768 -6.87768 0.215811 2.90065 0.281547 2.57531 -1 "insufficient individual entries"
219 13 27 30 0 group_fallback nan -6.87768 -6.87768 0.215811 2.90065 0.281547 2.57531 -1 "insufficient individual entries"
220 13 27 0 0 unused nan -6.87768 nan nan nan 0 0 -1 "known unused pixel"
221 13 27 33 0 group_fallback nan -6.87768 -6.87768 0.215811 2.90065 0.281547 2.57531 -1 "insufficient individual entries"
222 13 27 21 0 group_fallback nan -6.87768 -6.87768 0.215811 2.90065 0.281547 2.57531 -1 "insufficient individual entries"
223 13 27 0 0 group_fallback nan -6.87768 -6.87768 0.215811 2.90065 0.281547 2.57531 -1 "insufficient individual entries"
224 14 28 68 0 individual_fit -7.35764 -7.41188 -7.3304 0.327169 1.13908 -0.17117 5.68226 0 "valid constrained fit"
225 14 28 19 0 group_fallback nan -7.41188 -7.41188 0.162895 3.0037 -0.252653 2.96305 -1 "insufficient individual entries"
226 14 28 39 0 group_fallback -7.46043 -7.41188 -7.41188 0.162895 3.0037 -0.252653 2.96305 0 "individual constrained fit failed quality criteria"
