# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid constrained individual centroids
# pixel bar group entries source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
235 14 29 177 individual_fit -8.51085 -7.3829 -7.56731 0.245869 1.40503 0.871269 6.95683 0 "valid constrained fit"
236 14 29 0 unused nan -7.3829 nan nan nan 0 0 -1 "known unused pixel"
237 14 29 211 individual_fit -8.33206 -7.3829 -8.16917 0.317748 2.17968 0.26941 4.34018 0 "valid constrained fit"
238 14 29 112 group_fallback -3.17195 -7.3829 -7.3829 0.169278 3.54129 1.05568 1.05568 0 "individual constrained fit failed quality criteria"
239 14 29 0 unused nan -7.3829 nan nan nan 0 0 -1 "known unused pixel"
240 15 30 23 group_fallback nan -6.63447 -6.63447 0.399644 4.36878 1.80411 1.80411 -1 "insufficient individual entries"
241 15 30 19 group_fallback nan -6.63447 -6.63447 0.399644 4.36878 1.80411 1.80411 -1 "insufficient individual entries"
242 15 30 128 individual_fit -4.90006 -6.63447 -4.87665 0.252049 1.02318 3.56193 8.02104 0 "valid constrained fit"
243 15 30 7 group_fallback nan -6.63447 -6.63447 0.399644 4.36878 1.80411 1.80411 -1 "insufficient individual entries"
244 15 30 0 unused nan -6.63447 nan nan nan 0 0 -1 "known unused pixel"
245 15 30 8 group_fallback nan -6.63447 -6.63447 0.399644 4.36878 1.80411 1.80411 -1 "insufficient individual entries"
246 15 30 90 group_fallback nan -6.63447 -6.63447 0.399644 4.36878 1.80411 1.80411 -1 "insufficient individual entries"
247 15 30 163 individual_fit -8.70987 -6.63447 -8.63447 0.521556 2.51406 -0.19589 5.69384 0 "valid constrained fit"
248 15 31 93 group_fallback nan -8.46777 -8.46777 0.156563 3.65755 -0.029193 -0.029193 -1 "insufficient individual entries"
249 15 31 408 individual_fit -8.49328 -8.46777 -8.9883 0.329262 2.8965 -0.549719 4.75975 0 "valid constrained fit"
250 15 31 518 individual_fit -8.43777 -8.46777 -8.41988 0.332583 3.31293 0.0186928 6.03015 0 "valid constrained fit"
251 15 31 29 group_fallback nan -8.46777 -8.46777 0.156563 3.65755 -0.029193 -0.029193 -1 "insufficient individual entries"
252 15 31 158 individual_fit -8.90448 -8.46777 -9.1394 0.449271 2.66613 -0.700823 2.86067 0 "valid constrained fit"
253 15 31 161 group_fallback -8.70316 -8.46777 -8.46777 0.156563 3.65755 -0.029193 4.49797 0 "individual constrained fit failed quality criteria"
254 15 31 79 group_fallback nan -8.46777 -8.46777 0.156563 3.65755 -0.029193 -0.029193 -1 "insufficient individual entries"
255 15 31 0 unused nan -8.46777 nan nan nan 0 0 -1 "known unused pixel"
256 16 32 8 group_fallback nan -7.81645 -7.81645 0.151715 4.18357 0.622122 0.622122 -1 "insufficient individual entries"
257 16 32 123 group_fallback -0.0660448 -7.81645 -7.81645 0.151715 4.18357 0.622122 0.622122 0 "individual constrained fit failed quality criteria"
258 16 32 182 individual_fit -8.24682 -7.81645 -8.4616 0.776558 4.11747 -0.0230231 6.67021 0 "valid constrained fit"
259 16 32 312 individual_fit -8.32692 -7.81645 -7.98422 0.616952 3.4966 0.454355 8.27547 0 "valid constrained fit"
260 16 32 14 group_fallback nan -7.81645 -7.81645 0.151715 4.18357 0.622122 0.622122 -1 "insufficient individual entries"
261 16 32 199 group_fallback -8.20955 -7.81645 -7.81645 0.151715 4.18357 0.622122 4.58807 0 "individual constrained fit failed quality criteria"
262 16 32 309 individual_fit -8.20256 -7.81645 -7.8584 0.396402 3.51875 0.580178 3.83997 0 "valid constrained fit"
263 16 32 241 individual_fit -8.387 -7.81645 -8.45686 0.358977 3.10265 -0.0182803 5.37869 0 "valid constrained fit"
264 16 33 129 individual_fit -8.33671 -8.1042 -8.23292 0.527219 2.84916 0.205656 2.45828 0 "valid constrained fit"
265 16 33 468 individual_fit -8.37435 -8.1042 -8.38042 0.363254 3.1885 0.0581608 5.65586 0 "valid constrained fit"
266 16 33 483 individual_fit -8.34001 -8.1042 -8.36725 0.289291 2.64503 0.0713313 4.46553 0 "valid constrained fit"
